EventID , Time , Latitude , Longitude , Depth/km , Author , Catalog , Contributor , ContributorID , MagType , Magnitude , MagAuthor , EventLocationName
11297406,2020-07-21T17:44:23,-2.2836,100.7082,61.01,us,NEIC PDE,us,us6000b562,mb,4.1,us,"SOUTHERN SUMATRA, INDONESIA"
11283458,2020-07-27T20:31:14,-5.5045,104.9966,57.49,us,NEIC PDE,us,us6000b6w7,mb,4.6,us,"SOUTHERN SUMATRA, INDONESIA"
11292582,2020-07-30T19:43:26,-2.7362,101.3839,157.17,us,NEIC PDE,us,us6000b9qp,mb,4.4,us,"SOUTHERN SUMATRA, INDONESIA"
11281233,2020-08-02T04:35:03,-4.5387,102.6997,54.26,us,NEIC PDE,us,us6000b89d,mb,4.9,us,"SOUTHERN SUMATRA, INDONESIA"
11282984,2020-08-04T23:51:11,-1.7797,100.1815,48.42,us,NEIC PDE,us,us6000b9gc,mb,5.1,us,"SOUTHERN SUMATRA, INDONESIA"
11305512,2020-08-07T17:49:46,-4.4168,102.8282,64.46,us,NEIC PDE,us,us6000be01,mb,4.2,us,"SOUTHERN SUMATRA, INDONESIA"
11306217,2020-08-09T07:17:59,-5.2296,102.7424,52.4,us,NEIC PDE,us,us6000ben1,mb,4.3,us,"SOUTHERN SUMATRA, INDONESIA"
11298820,2020-08-13T19:03:44,-2.9918,103.4033,291.06,us,NEIC PDE,us,us6000bh5p,mb,4.2,us,"SOUTHERN SUMATRA, INDONESIA"
11297042,2020-08-18T22:23:59,-4.3259,101.1342,22,"us,at,pt",NEIC PDE,us,"at00qfa67x,us6000bgvl,pt20231001",mww,6.8,us,"SOUTHERN SUMATRA, INDONESIA"
11297049,2020-08-18T22:29:24,-4.2069,101.2411,26,"us,pt",NEIC PDE,us,"us6000bgvu,pt20231002",mww,6.9,us,"SOUTHERN SUMATRA, INDONESIA"
11297106,2020-08-19T01:37:58,-4.2866,101.1362,10,us,NEIC PDE,us,us6000bgxc,mb,4.6,us,"SOUTHERN SUMATRA, INDONESIA"
11302223,2020-08-20T19:47:26,-1.7524,100.2719,49.89,us,NEIC PDE,us,us7000bdm9,mb,4.3,us,"SOUTHERN SUMATRA, INDONESIA"
11311465,2020-08-21T19:01:01,-4.2702,101.0439,18.03,us,NEIC PDE,us,us7000bdru,mb,4.3,us,"SOUTHERN SUMATRA, INDONESIA"
11306865,2020-08-22T07:21:46,-2.8665,102.1687,120.26,us,NEIC PDE,us,us7000be8w,mb,4.4,us,"SOUTHERN SUMATRA, INDONESIA"
11299642,2020-08-24T10:24:32,-4.0266,101.0051,10,us,NEIC PDE,us,us6000bjp7,mb,5,us,"SOUTHERN SUMATRA, INDONESIA"
11304660,2020-08-26T01:36:23,-4.3358,101.1052,4.22,us,NEIC PDE,us,us7000bftc,mb,4.3,us,"SOUTHERN SUMATRA, INDONESIA"
11300876,2020-08-26T02:37:04,-4.7494,103.2838,67.47,us,NEIC PDE,us,us7000bd2d,mb,4.4,us,"SOUTHERN SUMATRA, INDONESIA"
11302506,2020-08-29T05:35:41,-4.3464,101.0406,10.14,us,NEIC PDE,us,us7000beq6,Mww,4.9,us,"SOUTHERN SUMATRA, INDONESIA"
11304847,2020-09-03T16:02:55,-4.474,102.5947,55.19,us,NEIC PDE,us,us7000bh8s,mb,5.3,us,"SOUTHERN SUMATRA, INDONESIA"
11306362,2020-09-06T16:45:24,-2.1683,102.2886,212.8,us,NEIC PDE,us,us7000bizn,mb,4.7,us,"SOUTHERN SUMATRA, INDONESIA"
11306826,2020-09-08T04:37:02,-1.14,98.4985,10,us,NEIC PDE,us,us7000bjjb,mb,5,us,"SOUTHERN SUMATRA, INDONESIA"
11320417,2020-09-28T01:17:34,-3.2804,101.555,55.73,us,NEIC PDE,us,us6000c4q9,mb,4.1,us,"SOUTHERN SUMATRA, INDONESIA"
11322221,2020-10-01T10:49:08,-2.4959,102.1105,148.65,us,NEIC PDE,us,us6000c6gp,mb,4.4,us,"SOUTHERN SUMATRA, INDONESIA"
11333723,2020-10-08T16:07:51,-3.2357,101.7964,67.3,us,NEIC PDE,us,us6000c81d,mb,4.6,us,"SOUTHERN SUMATRA, INDONESIA"
11323277,2020-10-10T10:43:04,-4.6967,102.6442,53.68,us,NEIC PDE,us,us6000c7ak,mb,4.8,us,"SOUTHERN SUMATRA, INDONESIA"
11325472,2020-10-15T09:41:15,-3.2272,100.3277,10,us,NEIC PDE,us,us6000c8hc,Mww,5.2,us,"SOUTHERN SUMATRA, INDONESIA"
